Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2013);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
3840;29105;"Herodote";journal;"0338487X";0,131;Q4;7;48;129;584;18;128;0,17;12,17;France;Western Europe;"Elsevier Masson SAS";"1979, 1984, 1986, 1988, 2006-2019";"Geography, Planning and Development (Q4)"
3841;7200153129;"International Community Law Review";journal;"18719732, 18719740";0,131;Q4;13;24;69;1874;29;56;0,35;78,08;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2007-2020";"Law (Q4); Political Science and International Relations (Q4)"
3842;29373;"Jewish Quarterly Review, The";journal;"00216682";0,131;Q2;7;27;41;1638;7;38;0,18;60,67;United States;Northern America;"University of Pennsylvania Press";"1953-1995, 1998-1999, 2011-2019";"Cultural Studies (Q2); History (Q2); Religious Studies (Q2)"
3843;27333;"Journal of American Ethnic History";journal;"02785927";0,131;Q2;15;16;55;988;14;46;0,19;61,75;United States;Northern America;"University of Illinois Press";"1989, 2000-2020";"Cultural Studies (Q2); History (Q2); Anthropology (Q3)"
3844;16800154753;"Journal of Conflict Archaeology";journal;"15740781, 15740773";0,131;Q3;10;11;27;453;8;21;0,38;41,18;United Kingdom;Western Europe;"Maney Publishing";"2005-2009, 2011-2020";"History (Q2); Archeology (Q3); Archeology (arts and humanities) (Q3)"
3845;16200154760;"Journal of Medieval and Early Modern Studies";journal;"15278263, 10829636";0,131;Q2;20;23;69;1888;16;69;0,15;82,09;United States;Northern America;"Duke University Press";"2002-2019";"Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3)"
3846;4700153513;"Journal of the Polynesian Society";journal;"00324000";0,131;Q2;13;14;47;429;7;46;0,13;30,64;New Zealand;Pacific Region;"University of Auckland";"1971-1972, 1977, 1979, 1988, 1996, 2001, 2006-2019";"Cultural Studies (Q2)"
3847;20900195107;"Macquarie Journal of International and Comparative Environmental Law";journal;"14488345";0,131;Q4;6;9;23;940;5;21;0,24;104,44;Australia;Pacific Region;"Macquarie University Centre for International &amp; Environmental Law";"2009, 2011-2013";"Law (Q4); Management, Monitoring, Policy and Law (Q4)"
3848;29376;"Philologus";journal;"00317985";0,131;Q3;8;27;83;1262;8;81;0,06;46,74;Germany;Western Europe;"Walter de Gruyter GmbH";"1846, 1848-1849, 1851-1852, 1854-1860, 1863-1867, 1869-1870, 1872, 1874-1877, 1879-1880, 1882, 1887-1892, 1894-1908, 1911-1913, 1916-1918, 1920-1921, 1926-1929, 1931, 1933-1938, 1941, 1943-1944, 1948, 1954-2020";"Classics (Q2); History (Q2); Literature and Literary Theory (Q2); Language and Linguistics (Q3); Linguistics and Language (Q3)"
3849;21100206619;"Postmedieval";journal;"20405979, 20405960";0,131;Q2;6;39;35;827;8;34;0,24;21,21;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2012-2020";"Cultural Studies (Q2); History (Q2); Literature and Literary Theory (Q2); Philosophy (Q3)"
3850;5800207761;"Revue Romane";journal;"00353906";0,131;Q3;6;16;46;541;7;45;0,17;33,81;Netherlands;Western Europe;"John Benjamins Publishing Company";"1996-2020";"Literature and Literary Theory (Q2); Language and Linguistics (Q3); Linguistics and Language (Q3)"
3851;5700165305;"South Asian Popular Culture";journal;"14746689, 14746697";0,131;Q2;13;29;80;811;19;73;0,16;27,97;United Kingdom;Western Europe;"Routledge";"2003-2020";"Cultural Studies (Q2); Visual Arts and Performing Arts (Q2)"
3852;145712;"Statute Law Review";journal;"01443593";0,131;Q4;10;21;48;1011;14;39;0,39;48,14;United Kingdom;Western Europe;"Oxford University Press";"1980-2019";"Law (Q4)"
3853;21100390168;"Dutch Journal of Applied Linguistics";journal;"22117253, 22117245";0,130;Q3;6;18;15;399;3;15;0,20;22,17;Netherlands;Western Europe;"John Benjamins Publishing Company";"2012-2019";"Language and Linguistics (Q3); Linguistics and Language (Q3)"
3854;19900191712;"General Anthropology";journal;"15371727, 19393466";0,130;Q3;5;10;20;37;4;17;0,29;3,70;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1994-1995, 2003-2019";"Anthropology (Q3)"
3855;28865;"Hermes";journal;"00180777";0,130;Q3;11;44;199;1443;20;181;0,13;32,80;Germany;Western Europe;"Franz Steiner Verlag Wiesbaden GmbH";"1967-1969, 1971-1972, 1974, 1976-1977, 1979-1980, 1986-1987, 1996-2019";"Classics (Q2); Language and Linguistics (Q3); Linguistics and Language (Q3)"
3856;5600152881;"Human Affairs";journal;"12103055, 1337401X";0,130;Q4;12;59;129;1421;16;124;0,13;24,08;Germany;Western Europe;"Walter de Gruyter GmbH";"2001, 2007-2020";"Philosophy (Q3); Law (Q4); Sociology and Political Science (Q4)"
3857;21100201982;"International Education Studies (discontinued)";journal;"19139020, 19139039";0,130;Q4;17;201;146;6524;30;145;0,21;32,46;Canada;Northern America;"Canadian Center of Science and Education";"2012-2015";"Education (Q4)"
3858;21100232420;"International Journal of Feminist Approaches to Bioethics";journal;"19374585, 19374577";0,130;Q3;9;24;19;706;13;16;0,81;29,42;United States;Northern America;"University of Toronto Press";"2012-2019";"Gender Studies (Q3); Philosophy (Q3); Health (social science) (Q4)"
3859;19700170065;"Journal of Asian Public Policy";journal;"17516242, 17516234";0,130;Q4;10;23;76;879;17;66;0,23;38,22;United Kingdom;Western Europe;"Routledge";"2010-2020";"Public Administration (Q4); Sociology and Political Science (Q4)"
3860;22498;"Journal of Semitic Studies";journal;"14778556, 00224480";0,130;Q2;12;18;50;739;22;50;0,33;41,06;United Kingdom;Western Europe;"Oxford University Press";"1956-1975, 1977-2019";"Cultural Studies (Q2); History (Q2); Literature and Literary Theory (Q2); Religious Studies (Q2); Language and Linguistics (Q3); Linguistics and Language (Q3)"
3861;5800208228;"MLN - Modern Language Notes";journal;"10806598, 00267910";0,130;Q3;14;62;208;1957;31;198;0,15;31,56;United States;Northern America;"Johns Hopkins University Press";"2002-2019";"Literature and Literary Theory (Q2); Language and Linguistics (Q3); Linguistics and Language (Q3)"
3862;14890;"Mondes En Developpement";journal;"03023052, 17821444";0,130;Q4;10;39;128;952;12;120;0,10;24,41;Belgium;Western Europe;"";"1977-1979, 1982-2020";"Development (Q4); Economics and Econometrics (Q4)"
3863;5000159706;"Revista Electronica de Investigacion Educativa";journal;"16074041";0,130;Q4;11;33;69;817;9;69;0,14;24,76;Mexico;Latin America;"Universidad Autonoma de Baja California";"2006-2019";"Education (Q4)"
3864;16500154712;"Victorian Literature and Culture";journal;"10601503, 14701553";0,130;Q2;14;40;99;1591;36;97;0,30;39,78;United Kingdom;Western Europe;"Cambridge University Press";"1996-2020";"Cultural Studies (Q2); Literature and Literary Theory (Q2)"
3865;16000154749;"Wiener Studien";journal;"0084005X, 18133924";0,130;Q3;5;12;38;349;4;38;0,12;29,08;Austria;Western Europe;"Verlag der Oesterreichischen Akademie der Wissenschaften";"2002-2019";"Classics (Q2); Language and Linguistics (Q3); Linguistics and Language (Q3)"
3866;19700170197;"Anthropology in Action";journal;"0967201X, 17522285";0,129;Q3;5;17;38;476;8;29;0,28;28,00;United States;Northern America;"Berghahn Journals";"2011-2019";"Anthropology (Q3)"
3867;13385;"Archiv fur Papyrusforschung und Verwandte Gebiete";journal;"18671551, 00666459";0,129;Q3;8;38;87;549;15;82;0,14;14,45;Germany;Western Europe;"Walter de Gruyter GmbH";"1901, 1903, 1906, 1913, 1920, 1924, 1927, 1930, 1932, 1935, 1937, 1939, 1941, 1953, 1958, 1960, 1966, 1970-1971, 1974, 1978, 1980, 1982-1998, 2000-2019";"History (Q2); Archeology (Q3); Archeology (arts and humanities) (Q3)"
3868;3100147503;"Bioscene";journal;"15392422";0,129;Q4;6;10;41;172;3;35;0,14;17,20;United States;Northern America;"Association of College and Univesity Biology Educators";"2004-2019";"Agricultural and Biological Sciences (miscellaneous) (Q4); Education (Q4)"
3869;21100208067;"Empirical Research in Vocational Education and Training";journal;"18776337, 18776345";0,129;Q4;11;3;29;137;10;27;0,16;45,67;United States;Northern America;"Springer Science + Business Media";"2009-2020";"Education (Q4)"
3870;5700155578;"Journal of American Folklore";journal;"00218715, 15351882";0,129;Q2;18;21;57;983;20;52;0,39;46,81;United States;Northern America;"American Folklore Society";"1987, 2002-2020";"Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3)"
3871;24834;"Journal of Value Inquiry";journal;"15730492, 00225363";0,129;Q4;17;28;83;1258;20;83;0,24;44,93;Netherlands;Western Europe;"Springer Netherlands";"1967-2020";"Philosophy (Q3); Law (Q4); Social Sciences (miscellaneous) (Q4)"
3872;20000195031;"Krisis";journal;"18757103, 0168275X";0,129;Q2;4;53;48;608;3;40;0,08;11,47;Netherlands;Western Europe;"Stichting Krisis";"2011-2019";"Cultural Studies (Q2); Philosophy (Q3); Sociology and Political Science (Q4)"
3873;23677;"Pacific Northwest Quarterly";journal;"00308803";0,129;Q2;4;2;28;169;2;27;0,12;84,50;United States;Northern America;"University of Washington";"1967, 1974, 1980, 1982, 1986, 2000-2018";"Cultural Studies (Q2); History (Q2)"
3874;25642;"Perspectives: Studies in Translatology";journal;"0907676X, 17476623";0,129;Q3;19;38;79;1393;29;72;0,21;36,66;United Kingdom;Western Europe;"Routledge";"1996-2020";"Linguistics and Language (Q3)"
3875;21100208044;"Policy and Internet";journal;"19442866";0,129;Q4;20;26;26;1270;7;25;0,28;48,85;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2012-2020";"Computer Science Applications (Q4); Health Policy (Q4); Health (social science) (Q4); Public Administration (Q4)"
3876;82318;"Revista de Estudios Regionales";journal;"02137585";0,129;Q4;6;26;28;946;4;28;0,14;36,38;Spain;Western Europe;"Departamento de Politica Economica, Facultad de Ciencias Economicas y Empresariales";"1978, 2006, 2012-2019";"Development (Q4); Economics and Econometrics (Q4); Sociology and Political Science (Q4)"
3877;11800154588;"Security and Human Rights";journal;"18747337";0,129;Q4;6;15;131;263;19;123;0,10;17,53;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2008-2017";"Law (Q4); Political Science and International Relations (Q4)"
3878;21100236814;"Ubiquitous Learning";journal;"18359795";0,129;Q4;8;20;157;581;24;133;0,11;29,05;United States;Northern America;"Common Ground Research Networks";"2009-2020";"Computer Science (miscellaneous) (Q4); Education (Q4); E-learning (Q4)"
3879;25698;"World Affairs";journal;"00438200";0,129;Q4;13;69;186;0;35;167;0,23;0,00;United States;Northern America;"SAGE Publications Inc.";"1988-1990, 1992-2020";"Social Sciences (miscellaneous) (Q4)"
3880;25501;"Zeitschrift fur Agyptische Sprache und Altertumskunde";journal;"0044216X";0,129;Q3;8;19;46;811;7;45;0,23;42,68;Germany;Western Europe;"Walter de Gruyter GmbH";"1863-1876, 1878-1898, 1905, 1908, 1910-1912, 1914-1915, 1917-1918, 1920, 1922-1927, 1929-1936, 1939-1940, 1942-1943, 1954-1956, 1958-1964, 1966-1967, 1969-2019";"History (Q2); Literature and Literary Theory (Q2); Archeology (Q3); Archeology (arts and humanities) (Q3); Language and Linguistics (Q3); Linguistics and Language (Q3)"
3881;5800207752;"Zeitschrift für Sprachwissenschaft";journal;"07219067";0,129;Q3;16;10;38;463;10;38;0,27;46,30;Germany;Western Europe;"De Gruyter Mouton";"1982-2020";"Language and Linguistics (Q3); Linguistics and Language (Q3)"
3882;23891;"China Report";journal;"00094455";0,128;Q4;10;25;69;1037;7;66;0,13;41,48;India;Asiatic Region;"Sage Publications India Pvt. Ltd";"1971, 1979, 1989-2020";"Development (Q4); Geography, Planning and Development (Q4); Political Science and International Relations (Q4)"
3883;19700181256;"Constructivist Foundations";journal;"1782348X";0,128;Q4;14;68;118;1174;15;78;0,20;17,26;Belgium;Western Europe;"Vrije Universiteit Brussel";"2010-2019";"Philosophy (Q3); Cognitive Neuroscience (Q4); Education (Q4); History and Philosophy of Science (Q4)"
3884;21100775590;"Games for health journal";journal;"21617856, 2161783X";0,128;Q4;26;56;43;1562;29;36;0,81;27,89;United States;Northern America;"Mary Ann Liebert Inc.";"2012-2020";"Computer Science Applications (Q4); Health (social science) (Q4); Public Health, Environmental and Occupational Health (Q4); Rehabilitation (Q4)"
3885;21100421501;"International Journal of Behavioural and Healthcare Research";journal;"17553539, 17553547";0,128;Q4;5;0;10;0;2;10;0,20;0,00;Switzerland;Western Europe;"Inderscience Publishers";"2008, 2012";"Health Policy (Q4); Health (social science) (Q4)"
3886;21100217205;"Journal of Borderlands Studies";journal;"21591229, 08865655";0,128;Q4;21;25;81;1117;41;76;0,50;44,68;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1986-2020";"Geography, Planning and Development (Q4); Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
3887;21100244201;"Journal of Emergency Management";journal;"15435865";0,128;Q4;8;34;42;941;6;39;0,15;27,68;United States;Northern America;"Prime National Publishing Corp.";"2012-2020";"Emergency Medicine (Q4); Medicine (miscellaneous) (Q4); Safety Research (Q4); Safety, Risk, Reliability and Quality (Q4)"
3888;21100446524;"Journal of Entrepreneurship and Public Policy";journal;"20452101, 2045211X";0,128;Q4;11;15;15;533;3;15;0,20;35,53;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2020";"Business and International Management (Q4); Strategy and Management (Q4); Urban Studies (Q4)"
3889;19400156803;"Journal of Human Security";journal;"18353800";0,128;Q4;6;3;33;102;7;29;0,14;34,00;Switzerland;Western Europe;"Librello publishing house";"2009-2011, 2013-2017, 2019";"Law (Q4); Political Science and International Relations (Q4); Safety Research (Q4); Sociology and Political Science (Q4)"
3890;18901;"Journal of Transport History";journal;"00225266, 17593999";0,128;Q4;14;13;39;408;9;31;0,26;31,38;United Kingdom;Western Europe;"SAGE Publications Inc.";"1979, 1981-2020";"History (Q2); Arts and Humanities (miscellaneous) (Q3); Geography, Planning and Development (Q4); Transportation (Q4)"
3891;14868;"Labour, Capital and Society";journal;"07061706";0,128;Q4;10;7;45;255;11;39;0,32;36,43;Canada;Northern America;"Labour, Capital and Society";"1980, 1982-1986, 1989-2013, 2015, 2019";"Development (Q4); Geography, Planning and Development (Q4)"
3892;7200153169;"Legal History Review";journal;"00407585, 15718190";0,128;Q4;9;21;65;3631;11;64;0,16;172,90;Netherlands;Western Europe;"Brill Academic Publishers";"1920-1927, 1929-1944, 1957-1958, 1963-1982, 1984-2020";"History (Q2); Law (Q4)"
3893;21100304264;"Olba";journal;"13017667";0,128;Q3;4;17;47;802;6;47;0,16;47,18;Turkey;Middle East;"Mersin University";"2009-2014, 2016-2019";"Archeology (Q3); Archeology (arts and humanities) (Q3)"
3894;4700152401;"Psychoanalytic Social Work";journal;"15228878";0,128;Q4;10;9;30;328;4;28;0,15;36,44;United States;Northern America;"Routledge";"1999-2019";"Social Psychology (Q4); Social Sciences (miscellaneous) (Q4); Social Work (Q4)"
3895;21100815472;"Region: Regional Studies of Russia, Eastern Europe, and Central Asia";journal;"21650659, 21664307";0,128;Q4;5;12;16;731;3;15;0,20;60,92;United States;Northern America;"Slavica Publishers";"2012-2019";"History (Q2); Economics and Econometrics (Q4); Sociology and Political Science (Q4)"
3896;16100154738;"Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte, Romanistische Abteilung";journal;"03234096, 23044934";0,128;Q4;7;45;106;2110;13;103;0,09;46,89;Germany;Western Europe;"Walter de Gruyter GmbH";"1880-1922, 1924-1944, 1947-1948, 1950-2019";"History (Q2); Law (Q4)"
3897;22776;"Arabica";journal;"15700585, 05705398";0,127;Q3;15;22;72;2302;23;68;0,24;104,64;Netherlands;Western Europe;"Brill Academic Publishers";"1954-1981, 1983-1993, 1996-2020";"Literature and Literary Theory (Q2); Religious Studies (Q2); Cultural Studies (Q3); Language and Linguistics (Q3)"
3898;5700166475;"European Journal of East Asian Studies";journal;"15700615, 15680584";0,127;Q3;11;7;46;151;16;41;0,35;21,57;Netherlands;Western Europe;"Brill Academic Publishers";"2001, 2007-2019";"History (Q2); Cultural Studies (Q3); Development (Q4); Geography, Planning and Development (Q4); Political Science and International Relations (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
3899;89410;"European Journal of Social Sciences (discontinued)";journal;"14502267";0,127;Q4;24;0;1262;0;372;1257;0,23;0,00;United Kingdom;Western Europe;"EuroJournals, Inc.";"1997, 2006-2012";"Social Sciences (miscellaneous) (Q4)"
3900;13138;"German Life and Letters";journal;"00168777, 14680483";0,127;Q3;12;27;108;1178;13;103;0,10;43,63;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1936-1939, 1947-2020";"Literature and Literary Theory (Q2); Cultural Studies (Q3); Sociology and Political Science (Q4)"
3901;16500154711;"Hobbes Studies";journal;"09215891, 18750257";0,127;Q4;7;9;33;938;2;31;0,04;104,22;Netherlands;Western Europe;"Brill Academic Publishers";"1989-1990, 1992, 1994, 1996-2019";"History (Q2); Philosophy (Q3); Sociology and Political Science (Q4)"
3902;19900195027;"International Journal of the Book";journal;"14479567, 14479516";0,127;Q4;3;27;111;590;4;111;0,04;21,85;United States;Northern America;"Common Ground Research Networks";"2011-2019";"History (Q2); Literature and Literary Theory (Q2); Communication (Q4); Library and Information Sciences (Q4)"
3903;30239;"Japanese Journal of Human Geography";journal;"00187216";0,127;Q4;5;29;87;736;6;85;0,04;25,38;Japan;Asiatic Region;"Human Geographical Society of Japan";"1950-2019";"Geography, Planning and Development (Q4)"
3904;24195;"Journal Asiatique";journal;"17831504, 0021762X";0,127;Q3;9;24;76;1005;10;75;0,11;41,88;Belgium;Western Europe;"Peeters Publishers";"1970, 1989, 1996-2004, 2006-2019";"History (Q2); Literature and Literary Theory (Q2); Cultural Studies (Q3); Language and Linguistics (Q3); Linguistics and Language (Q3)"
3905;14000156195;"Journal of Applied Social Science";journal;"19370245, 19367244";0,127;Q4;11;9;51;195;9;47;0,23;21,67;United States;Northern America;"SAGE Publications Inc.";"2003-2020";"Social Sciences (miscellaneous) (Q4)"
3906;69336;"Names";journal;"00277738, 17562279";0,127;Q3;10;26;75;525;17;59;0,16;20,19;United Kingdom;Western Europe;"Maney Publishing";"1953-2020";"Language and Linguistics (Q3); Linguistics and Language (Q3); Demography (Q4)"
3907;19700201344;"OAH Magazine of History";journal;"0882228X";0,127;Q4;4;28;80;605;4;57;0,07;21,61;United States;Northern America;"Organization of American Historians";"2011-2013";"History (Q2); Education (Q4); History and Philosophy of Science (Q4)"
3908;19900194907;"Planning Malaysia";journal;"16756215";0,127;Q4;5;10;30;342;2;26;0,09;34,20;Malaysia;Asiatic Region;"Malaysian Institute of Planners";"2010-2019";"Geography, Planning and Development (Q4); Urban Studies (Q4)"
3909;7100153146;"Review of Central and East European Law";journal;"09259880, 15730352";0,127;-;13;11;43;697;22;41;0,42;63,36;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1975, 1977-1981, 1983-2019";"Classics (Q2); History (Q2); Philosophy (Q3)"
3910;29215;"Transactions of the Institute of Indian Geographers";journal;"09709851";0,127;Q4;4;23;66;436;2;65;0,04;18,96;India;Asiatic Region;"Institute of Indian Geographers";"1980-2019";"Ocean Engineering (Q3); Geography, Planning and Development (Q4); Water Science and Technology (Q4)"
3911;99334;"Zeitschrift fur Ethnologie";journal;"00442666";0,127;Q3;8;16;45;487;8;42;0,22;30,44;Germany;Western Europe;"Reimer Verlag";"1981, 2005-2015, 2017";"Cultural Studies (Q3); Social Sciences (miscellaneous) (Q4)"
3912;5800169547;"Acta Juridica Hungarica";journal;"12162574, 15882616";0,126;Q4;4;26;80;366;5;77;0,09;14,08;Hungary;Eastern Europe;"Akademiai Kiado";"2007-2016";"Law (Q4)"
3913;22229;"Al-Qantara";journal;"19882955, 02113589";0,126;Q3;12;32;46;1668;14;35;0,21;52,13;Spain;Western Europe;"CSIC Consejo Superior de Investigaciones Cientificas";"1984, 1997-2019";"History (Q2); Literature and Literary Theory (Q2); Cultural Studies (Q3)"
3914;21100247037;"Anatolica";journal;"18756654, 00661554";0,126;Q3;7;11;10;683;2;9;0,22;62,09;Belgium;Western Europe;"Peeters Publishers";"2012-2018";"History (Q2); Archeology (Q3); Archeology (arts and humanities) (Q3)"
3915;5600153164;"Cadernos Pagu";journal;"01048333";0,126;Q3;9;15;122;528;15;116;0,07;35,20;Brazil;Latin America;"Universidade Estadual de Campinas UNICAMP";"2008-2019";"Gender Studies (Q3)"
3916;5700164093;"Comparative American Studies";journal;"17412676, 14775700";0,126;Q3;5;30;79;936;7;67;0,13;31,20;United Kingdom;Western Europe;"Maney Publishing";"2008-2017";"Arts and Humanities (miscellaneous) (Q3); Cultural Studies (Q3); Sociology and Political Science (Q4)"
3917;5700153863;"Germanic Review, The";journal;"00168890, 19306962";0,126;Q3;10;28;70;1251;5;65;0,10;44,68;United States;Northern America;"Routledge";"1974-1980, 1982-1988, 1990-2020";"Literature and Literary Theory (Q2); Cultural Studies (Q3)"
3918;19700173305;"Historia y Politica";journal;"15750361, 1989063X";0,126;Q4;6;23;73;1578;11;69;0,22;68,61;Spain;Western Europe;"Center for Constitutional Studies";"1999, 2001, 2009-2019";"History (Q2); Sociology and Political Science (Q4)"
3919;19900191915;"Intersecciones en Antropologia";journal;"16662105, 1850373X";0,126;Q3;9;3;96;58;16;96;0,19;19,33;Argentina;Latin America;"Universidad Nacional del Centro de la Provincia de Buenos Aires";"2010-2019";"Anthropology (Q3)"
3920;21100200803;"Journal of Aesthetics and Culture";journal;"20004214";0,126;Q3;7;6;38;137;4;35;0,11;22,83;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2012-2020";"Visual Arts and Performing Arts (Q2); Cultural Studies (Q3); Philosophy (Q3)"
3921;17700156732;"Journal of Teacher Education for Sustainability";journal;"16914147, 16915534";0,126;Q4;12;14;52;505;12;48;0,19;36,07;Poland;Eastern Europe;"De Gruyter Open Ltd.";"2007-2019";"Education (Q4)"
3922;22763;"Journal of the American Oriental Society";journal;"00030279";0,126;Q3;14;28;84;1414;23;84;0,24;50,50;United States;Northern America;"American Oriental Society";"1971, 1973, 1979, 1982, 1986, 1988, 1998, 2002-2008, 2010-2019";"Arts and Humanities (miscellaneous) (Q3); Cultural Studies (Q3)"
3923;5100155050;"Kasetsart Journal - Social Sciences";journal;"01258370";0,126;Q4;10;30;120;690;10;117;0,10;23,00;Thailand;Asiatic Region;"Kasetsart University";"2006-2019";"Social Sciences (miscellaneous) (Q4)"
3924;21000195021;"Migration Letters";journal;"17418992, 17418984";0,126;Q4;11;22;48;610;9;48;0,19;27,73;United Kingdom;Western Europe;"Migration Letters &amp; The London Publishers";"2011-2020";"Demography (Q4); Geography, Planning and Development (Q4)"
3925;23285;"Natures Sciences Societes";journal;"12401307, 17652979";0,126;Q4;16;49;142;1093;23;114;0,25;22,31;France;Western Europe;"EDP Sciences";"1995-2019";"Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Earth and Planetary Sciences (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4); Multidisciplinary (Q4); Social Sciences (miscellaneous) (Q4)"
3926;73467;"RA'E GA - O Espaco Geografico em Analise";journal;"15164136";0,126;Q4;6;34;119;883;5;114;0,06;25,97;Brazil;Latin America;"Universidade Federal do Parana";"2002-2006, 2008-2019";"Geography, Planning and Development (Q4)"
3927;21100312401;"Revista Cubana de Informacion en Ciencias de la Salud";journal;"23072113";0,126;Q4;9;40;101;906;11;82;0,11;22,65;Cuba;Latin America;"Centro Nacional De Informacion De Ciencias Medicas";"2013-2019";"Health Information Management (Q4); Health Policy (Q4); Library and Information Sciences (Q4)"
3928;29858;"Revue Numismatique";journal;"04848942";0,126;Q3;7;21;76;1020;8;72;0,04;48,57;France;Western Europe;"Societe Francaise de Numismatique";"1985, 2002-2007, 2009-2019";"Archeology (Q3); Archeology (arts and humanities) (Q3)"
3929;5600155562;"Sciences de l'Education pour l'Ere Nouvelle";journal;"07559593";0,126;Q4;3;26;23;516;2;21;0,10;19,85;France;Western Europe;"Universite de Caen, Laboratoire de Psychopedagogie";"2011, 2013-2019";"Developmental and Educational Psychology (Q4); Education (Q4)"
3930;57806;"Socijalna Ekologija";journal;"13300113";0,126;Q4;8;6;44;287;6;41;0,14;47,83;Croatia;Eastern Europe;"Hrvatsko Sociolosko Drustvo/Croatian Sociological Association";"1994-2019";"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)"
3931;19900192125;"Strategic Comments";journal;"13567888";0,126;Q4;4;45;154;0;16;154;0,14;0,00;United Kingdom;Western Europe;"Routledge";"2001-2005, 2007-2020";"Political Science and International Relations (Q4)"
3932;21100220342;"Studies in Regional Science";journal;"02876256, 18806465";0,126;Q4;11;62;172;956;6;171;0,03;15,42;Japan;Asiatic Region;"The Japan Section of the Regional Science Association International";"1970-2019";"Environmental Science (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)"
3933;100147347;"Transnational Corporations";journal;"10149562";0,126;Q4;23;0;33;0;6;33;0,19;0,00;Switzerland;Western Europe;"UNCTAD United Nations Conference on Trade and Development";"2005-2012, 2015-2019";"Business, Management and Accounting (miscellaneous) (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4); Political Science and International Relations (Q4)"
3934;5800221971;"Zeitschrift fur Slawistik";journal;"00443506";0,126;Q3;5;38;92;861;9;91;0,14;22,66;Germany;Western Europe;"Walter de Gruyter GmbH";"1956-1966, 1968-1979, 1981-2019";"Literature and Literary Theory (Q2); Cultural Studies (Q3); Language and Linguistics (Q3); Linguistics and Language (Q3)"
3935;29842;"ABA Journal";journal;"07470088";0,125;Q4;6;331;631;0;24;258;0,12;0,00;United States;Northern America;"American Bar Association";"1984-1987, 1993, 1996-1999, 2002-2014";"Law (Q4)"
3936;42008;"Anthropologica";journal;"00035459";0,125;Q3;16;35;96;1675;25;80;0,17;47,86;Canada;Northern America;"Wilfrid Laurier University Press";"1980, 1985, 1999, 2005-2019";"Anthropology (Q3); Arts and Humanities (miscellaneous) (Q3)"
3937;6500153231;"Anthropology of the Middle East";journal;"17460719";0,125;Q3;5;13;28;411;4;25;0,16;31,62;United States;Northern America;"Berghahn Journals";"2011-2019";"Anthropology (Q3)"
3938;15666;"Banking Law Journal";journal;"00055506";0,125;Q4;5;0;196;0;12;170;0,08;0,00;United States;Northern America;"Sheshunoff Information Services Inc.";"1996-2012, 2018-2020";"Business, Management and Accounting (miscellaneous) (Q4); Finance (Q4); Law (Q4)"
3939;21100219306;"BioScope: South Asian Screen Studies";journal;"09749276, 0976352X";0,125;Q4;7;17;38;773;17;33;0,50;45,47;United States;Northern America;"SAGE Publications Inc.";"2010-2020";"Visual Arts and Performing Arts (Q2); Communication (Q4)"
3940;6000160344;"Canadian Journal of Native Studies";journal;"07153244";0,125;Q3;6;22;65;790;12;63;0,19;35,91;Canada;Northern America;"Bearpaw Publishing, Brandon University";"1984, 2001, 2009-2017";"Anthropology (Q3); Cultural Studies (Q3)"
3941;17600155217;"Document Numerique";journal;"19631014, 12795127";0,125;Q4;6;20;63;503;5;56;0,09;25,15;France;Western Europe;"Lavoisier";"2001-2004, 2006-2016, 2018";"Library and Information Sciences (Q4)"
3942;25704;"Exchange";journal;"1572543X, 01662740";0,125;Q3;5;15;47;1146;9;42;0,21;76,40;Netherlands;Western Europe;"Brill Academic Publishers";"1973-1975, 2010-2020";"Religious Studies (Q2); Cultural Studies (Q3)"
3943;6500153237;"Fontes Artis Musicae";journal;"00156191";0,125;Q4;4;3;51;25;4;50;0,04;8,33;United States;Northern America;"";"2002-2019";"Music (Q2); Library and Information Sciences (Q4)"
